Kod stacji,Nazwa stacji,Rok,Miesiac,Dzien,Godzina,Temperatura powietrza,Status pomiaru TEMP,Temperatura termometru zwilzonego,Status pomiaru TTZW,Wskaznik lodu [L/W],Wskaznik wentylacji [W/N],Wilgotnosc wzgledna,Status pomiaru WLGW,Kod kierunku wiatru [kod],Status pomiaru DKDK,Predkosc wiatru [m/s],Status pomiaru FWR,Zachmurzenie ogolne,Status pomiaru ZOGK,Widzialnosc [kod],Status pomiaru WID
250220120,JAROCIN,2015,1,1,6,-1.7,,0.0,8.0,,W,0,8.0,WSW,,3,,8,,4,
250220120,JAROCIN,2015,1,1,12,0.1,,0.0,8.0,,W,0,8.0,WSW,,3,,8,,3,
250220120,JAROCIN,2015,1,1,18,0.7,,0.0,8.0,,W,0,8.0,WSW,,4,,8,,3,
250220120,JAROCIN,2015,1,2,6,-1.5,,0.0,8.0,,W,0,8.0,SSW,,3,,8,,6,
250220120,JAROCIN,2015,1,2,12,0.3,,0.0,8.0,,W,0,8.0,SSW,,5,,3,,6,
250220120,JAROCIN,2015,1,2,18,1.3,,0.0,8.0,,W,0,8.0, SW,,5,,8,,4,
250220120,JAROCIN,2015,1,3,6,2.6,,0.0,8.0,,W,0,8.0,WSW,,5,,8,,6,
250220120,JAROCIN,2015,1,3,12,4.6,,0.0,8.0,,W,0,8.0,  W,,9,,3,,6,
250220120,JAROCIN,2015,1,3,18,2.6,,0.0,8.0,,W,0,8.0,WSW,,8,,8,,6,
250220120,JAROCIN,2015,1,4,6,0.7,,0.0,8.0,,W,0,8.0,  W,,6,,8,,4,
250220120,JAROCIN,2015,1,4,12,2.1,,0.0,8.0,,W,0,8.0,WNW,,5,,8,,6,
250220120,JAROCIN,2015,1,4,18,0.5,,0.0,8.0,,W,0,8.0,WNW,,6,,8,,6,
250220120,JAROCIN,2015,1,5,6,-0.3,,0.0,8.0,,W,0,8.0,WNW,,6,,8,,6,
250220120,JAROCIN,2015,1,5,12,0.3,,0.0,8.0,,W,0,8.0, NW,,4,,6,,6,
250220120,JAROCIN,2015,1,5,18,-0.1,,0.0,8.0,,W,0,8.0,WNW,,4,,8,,6,
250220120,JAROCIN,2015,1,6,6,-5.4,,0.0,8.0,L,W,0,8.0,  N,,2,,8,,6,
