Kod stacji,Nazwa stacji,Rok,Miesiac,Dzien,Godzina,Temperatura powietrza,Status pomiaru TEMP,Temperatura termometru zwilzonego,Status pomiaru TTZW,Wskaznik lodu [L/W],Wskaznik wentylacji [W/N],Wilgotnosc wzgledna,Status pomiaru WLGW,Kod kierunku wiatru [kod],Status pomiaru DKDK,Predkosc wiatru [m/s],Status pomiaru FWR,Zachmurzenie ogolne,Status pomiaru ZOGK,Widzialnosc [kod],Status pomiaru WID
250190390,KRAKÓW-OBSERWATORIUM,2015,1,1,6,-0.8,,-1.4,,L,W,88,,  W,,5,,8,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,1,12,1.1,,0.8,,W,W,95,,  W,,3,,8,,3,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,1,18,1.6,,0.6,,W,W,83,,  W,,2,,1,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,2,6,-0.3,,-0.9,,L,W,89,, SW,,1,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,2,12,8.1,,4.4,,W,W,54,,WNW,,3,,7,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,2,18,4.5,,3.3,,W,W,82,,  W,,5,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,3,6,3.9,,1.5,,W,W,64,,WNW,,6,,6,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,3,12,4.8,,1.8,,W,W,57,,  W,,6,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,3,18,3.2,,0.5,,W,W,59,,WNW,,4,,7,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,4,6,1.4,,0.6,,W,W,86,,  W,,3,,7,,6,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,4,12,2.8,,0.8,,W,W,69,, NW,,5,,3,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,4,18,0.7,,-0.6,,L,W,78,,WNW,,4,,6,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,5,6,-0.2,,-1.4,,L,W,78,,  W,,4,,3,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,5,12,0.2,,0.0,,W,W,96,,  W,,2,,7,,6,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,5,18,-0.3,,-1.5,,L,W,78,,  W,,2,,7,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,6,6,-2.1,,-3.8,,L,W,65,,  N,,2,,2,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,6,12,-2.5,,-4.6,,L,W,57,,NNW,,2,,1,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,6,18,-6.6,,-7.5,,L,W,72,,ENE,,1,,0,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,7,6,-10.6,,-10.8,,L,W,84,,  E,,2,,5,,6,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,7,12,-5.6,,-7.3,,L,W,56,,  E,,1,,8,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,7,18,-5.1,,-6.6,,L,W,62,,  C,,0,,7,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,8,6,-2.4,,-2.9,,L,W,88,,  W,,1,,7,,6,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,8,12,2.6,,0.3,,W,W,64,,  S,,1,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,8,18,2.6,,0.3,,W,W,64,, SW,,2,,8,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,9,6,4.0,,2.6,,W,W,79,,WNW,,4,,8,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,9,12,6.3,,3.3,,W,W,60,,WSW,,3,,8,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,9,18,7.1,,4.8,,W,W,70,,  W,,6,,8,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,10,6,5.6,,4.2,,W,W,80,,  W,,4,,8,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,10,12,6.7,,6.4,,W,W,96,,  W,,1,,8,,5,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,10,18,13.3,,9.7,,W,W,63,,  W,,6,,5,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,11,6,2.4,,0.2,,W,W,65,,WSW,,2,,4,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,11,12,4.5,,1.0,,W,W,50,,  W,,5,,7,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,11,18,3.4,,0.6,,W,W,58,,  W,,5,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,12,6,2.1,,1.2,,W,W,85,,  W,,3,,7,,7,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,12,12,5.1,,3.1,,W,W,71,,  W,,5,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,12,18,5.1,,3.0,,W,W,70,,WSW,,2,,7,,8,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,13,6,5.4,,2.8,,W,W,64,,WSW,,1,,6,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,13,12,11.3,,5.7,,W,W,40,,  W,,3,,1,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,13,18,4.0,,0.6,,W,W,50,,ENE,,1,,0,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,14,6,0.4,,-0.8,,W,W,79,,  C,,0,,6,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,14,12,10.2,,5.8,,W,W,50,,  W,,3,,7,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,14,18,7.1,,4.0,,W,W,60,,  W,,2,,8,,9,
250190390,KRAKÓW-OBSERWATORIUM,2015,1,15,6,3.2,,1.6,,W,W,75,,  W,,3,,6,,9,
